scenario,strategy,replication,requested_tasks,completed_tasks,throughput,completion_rate,mean_delay,max_delay,mean_tardiness,urgent_deadline_violation_rate,normal_deadline_violation_rate,urgent_on_time_rate,idle_ratio,charging_wait,low_soc_stops,detour_distance_m,traction_energy,aux_energy,wpt_input_energy,battery_delivered_energy,wpt_loss,mean_efficiency,fleet_min_soc,opportunity_charging_energy,mandatory_charging_energy,pad_utilization,mean_queue,max_queue,pad_waiting_time,charging_contention_events,different_decision_rate_C4_vs_C3,deferred_charging_requests,charging_sessions,c1_start_soc,c1_target_soc,solver_computation_time_s,solver_calls,critical_soc_event_count,simulation_failure_count,infeasible_count,priority_decisions,total_priority_computation_time_s,mean_decision_latency_ms,p95_decision_latency_ms,max_decision_latency_ms,solver_calls_per_replication,solver_total_time_per_replication_s,solver_mean_time_s,solver_median_time_s,solver_p95_time_s,solver_max_time_s,solver_mean_time_per_call_ms,solver_p95_time_per_call_ms,solver_max_time_per_call_ms,solver_mean_binary_variables,solver_mean_constraints,solver_mean_available_agv_slot_pairs,solver_mean_actual_busy_agv_slot_pairs,solver_mean_forecast_busy_agv_slot_pairs,solver_infeasible_calls,solver_time_limit_calls,solver_fallback_calls,solver_safety_slack_total,solver_reserve_slack_total,solver_task_slack_total
base,C1,6041,1738,1737,72.375,99.94246260069045,0.6499068406455091,52.33424204811818,0.2597393366956883,0,0.5753739930955071,100,0.44739485207426666,0.0,0,100.0,20.875999999999983,3.622222222222213,25.137853253263955,20.145735727525363,4.992117525738596,80.14103481533212,29.678888888888544,0.0,20.145735727525363,17.45684253698886,0,0,0.0,0,0,0,10,0.3,0.7,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
base,C1,6042,1770,1764,73.5,99.66101694915255,0.7965034881812608,52.372140378089895,0.2992705865795569,0,2.7683615819209084,100,0.43843189108448444,0.0,0,100.0,21.259999999999966,3.6888888888888793,25.164519209585606,20.137628811775908,5.0268903978097015,80.02389651897316,29.678888888888544,0.0,20.137628811775908,17.47536056221223,0,0,0.0,0,0,0,10,0.3,0.7,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
base,C1,6043,1799,1795,74.79166666666667,99.77765425236242,2.1548651714584772,82.32913448700232,1.0515047568232347,0,11.951083935519735,100,0.4303894441925912,4.290587241077676,0,100.0,21.607999999999958,3.7493055555555457,25.159800090667183,20.131455509952563,5.028344580714618,80.01436989723999,29.678888888888554,0.0,20.131455509952563,17.472083396296654,0,0,21.452936205388383,0,0,0,10,0.3,0.7,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
base,C1,6044,1839,1833,76.375,99.673735725938,1.2455191462588737,54.83054754043114,0.46440656997768215,0,5.709624796084833,100,0.4123713875926387,0.0,0,110.0,22.08999999999994,3.8327777777777676,27.646300466650075,22.147114484017834,5.499185982632239,80.10878168214244,29.678888888888544,0.0,22.147114484017834,19.198819768506997,0,0,0.0,0,0,0,11,0.3,0.7,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
base,C1,6045,1761,1754,73.08333333333333,99.60249858035208,0.7090009901419263,51.48810495773554,0.26160687796172094,0,1.249290176036344,100,0.44113780700622074,0.0,0,100.0,21.151999999999973,3.6701388888888795,25.090389477760514,20.130875002255735,4.959514475504778,80.2334097687054,29.678888888888554,0.0,20.130875002255735,17.423881581778137,0,0,0.0,0,0,0,10,0.3,0.7,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
base,C1,6046,1732,1728,72.0,99.76905311778292,1.7899189232211836,74.52751603712932,1.0077354184920149,0,7.563510392609696,100,0.4493610215621217,7.633995689944423,0,100.0,20.803999999999984,3.6097222222222127,25.030032237636178,20.113200437765386,4.916831799870794,80.3562706064851,29.678888888888544,0.0,20.113200437765386,17.38196683169179,0,0,38.16997844972211,0,0,0,10,0.3,0.7,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
base,C1,6047,1716,1715,71.45833333333333,99.94172494172494,0.7650698089890311,62.93124750872351,0.2747235930720528,0,1.1655011655011704,100,0.45378328514302424,2.845343023626774,0,100.0,20.611999999999995,3.5763888888888795,25.03801734851124,20.132023947982717,4.905993400528521,80.40582314389908,29.678888888888554,0.0,20.132023947982717,17.387512047577246,0,0,14.226715118133871,0,0,0,10,0.3,0.7,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
base,C1,6048,1772,1767,73.625,99.7178329571106,0.7402183451623325,57.28449060808926,0.2731339833587921,0,1.4108352144469483,100,0.43744222742137373,0.0,0,100.0,21.283999999999967,3.6930555555555458,25.32079812830547,20.12530686046223,5.19549126784324,79.4813289789814,29.678888888888554,0.0,20.12530686046223,17.583887589101025,0,0,0.0,0,0,0,10,0.3,0.7,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
base,C1,6049,1777,1774,73.91666666666667,99.83117613956107,0.7752830251042877,53.1872267395395,0.26054435815138793,0,0.8441193021947124,100,0.43628768686118746,0.0,0,100.0,21.343999999999966,3.7034722222222127,25.236432729972513,20.131362932013655,5.105069797958858,79.771032409443,29.678271666994547,0.0,20.131362932013655,17.525300506925355,0,0,0.0,0,0,0,10,0.3,0.7,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
base,C1,6050,1768,1765,73.54166666666667,99.83031674208145,1.0418452348654297,55.344841837757365,0.29852941602067923,0,4.2420814479637965,100,0.4390010335055952,0.0,0,100.0,21.23599999999997,3.6847222222222125,25.15962793798573,20.140627440915065,5.019000497070667,80.05137234365445,29.678888888888554,0.0,20.140627440915065,17.471963845823424,0,0,0.0,0,0,0,10,0.3,0.7,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
