scenario,strategy,replication,requested_tasks,completed_tasks,throughput,completion_rate,mean_delay,max_delay,mean_tardiness,urgent_deadline_violation_rate,normal_deadline_violation_rate,urgent_on_time_rate,idle_ratio,charging_wait,low_soc_stops,detour_distance_m,traction_energy,aux_energy,wpt_input_energy,battery_delivered_energy,wpt_loss,mean_efficiency,fleet_min_soc,opportunity_charging_energy,mandatory_charging_energy,pad_utilization,mean_queue,max_queue,pad_waiting_time,charging_contention_events,different_decision_rate_C4_vs_C3,deferred_charging_requests,charging_sessions,c1_start_soc,c1_target_soc,solver_computation_time_s,solver_calls,weight_id,phase
stress_near_transition,C2,5028,1707,1701,70.875,99.64850615114236,1.0023514806116844,128.34678873690936,0.6284379802186089,41.00946372239748,2.086330935251801,58.99053627760252,0.541045398874495,23.232131104034973,0,9110.0,46.0959999999998,5.33486111111111,60.613118967254515,48.49989750864517,12.113221458609328,80.01551204590979,19.249843576845482,16.76428497688008,31.73561253176507,84.18488745452012,3.0,6,162.6249177282448,650,15.384615384615385,178,911,nan,nan,0.0,0,reference,reference
stress_near_transition,C2,5029,1744,1739,72.45833333333333,99.71330275229357,7.060210917412224,246.53853999553104,5.5826733039319105,60.130718954248366,33.31015299026425,39.869281045751634,0.5251116834556359,117.4641724807776,0,6910.0,47.249999999999865,5.461249999999993,64.94371153835952,52.05149187615929,12.892219662200223,80.14862508345347,19.306219129090287,13.381577799566083,38.669914076593216,90.19959935883264,3.0,6,822.2492073654432,503,34.39363817097416,111,691,nan,nan,0.0,0,reference,reference
stress_near_transition,C2,5030,1689,1679,69.95833333333333,99.40793368857312,7.6881322171900415,324.3016866855161,6.405463360005512,56.00000000000001,30.843913368185216,44.0,0.5364293412709604,147.4851357110615,0,8760.0,45.789999999999814,5.2911111111111095,64.73961199943594,51.682601750075165,13.057010249360781,79.83149752353391,19.20523083395401,16.560108718689055,35.12249303138611,89.91612777699437,3.0,6,1032.3959499774305,648,25.771604938271604,146,876,nan,nan,0.0,0,reference,reference
stress_near_transition,C2,5031,1702,1696,70.66666666666667,99.64747356051704,2.2021739636653854,233.6070439008683,1.5310152324496458,37.7104377104377,12.170818505338076,62.2895622895623,0.5446163253133224,68.22613347156523,0,10080.0,45.967999999999805,5.319722222222218,59.313372042085525,47.36560122481791,11.947770817267626,79.85653081940758,19.160048879711415,19.208683130671215,28.15691809414669,82.37968339178549,3.0,6,477.58293430095665,729,24.005486968449933,182,1008,nan,nan,0.0,0,reference,reference
stress_near_transition,C2,5032,1689,1685,70.20833333333333,99.76317347542924,8.075865875358698,302.6258324387603,6.89357492348016,57.098765432098766,27.032967032967036,42.901234567901234,0.5400075740910618,138.35408256638223,0,7940.0,45.60199999999983,5.278055555555552,62.936182658104805,50.087663194511556,12.848519463593245,79.5848446458984,19.40928653452776,14.898534373697554,35.189128820814005,87.41136480292334,3.0,6,968.4785779646755,562,25.97864768683274,146,794,nan,nan,0.0,0,reference,reference
stress_near_transition,C2,5033,1688,1681,70.04166666666667,99.58530805687204,2.5830289194515603,246.85326670310326,1.6762369065542173,49.42528735632183,17.014925373134325,50.57471264367817,0.5360797175583668,108.53678201493697,0,8740.0,45.60799999999982,5.277222222222218,65.01582235058308,51.88294973370766,13.132872616875405,79.80049756802372,19.424629958367255,16.68004037003307,35.2029093636746,90.2997532646987,3.0,6,759.7574741045588,637,28.885400313971743,159,874,nan,nan,0.0,0,reference,reference
stress_near_transition,C2,5034,1638,1634,68.08333333333333,99.75579975579976,0.8635695602019466,197.74011400226712,0.5865171000778311,35.18518518518518,0.9893455098934578,64.81481481481481,0.5613708219631163,37.30480433583663,0,11100.0,45.07999999999977,5.178055555555558,57.26910573058939,45.81588516519828,11.453220565391106,80.0010486993277,19.209287052987904,21.185518978500856,24.63036618669741,79.54042462581857,3.0,6,261.1336303508564,806,19.727047146401986,176,1110,nan,nan,0.0,0,reference,reference
stress_near_transition,C2,5035,1755,1747,72.79166666666667,99.54415954415956,4.46234097736356,234.68292395194766,3.377232610681657,53.316326530612244,22.67057960381511,46.683673469387756,0.5202673283626852,90.13022327210527,0,5760.0,46.557999999999886,5.426944444444437,66.28526650520662,52.97634067749464,13.30892582771198,79.92174350439312,19.30216318887842,10.7723068719103,42.20403380558434,92.06287014612028,3.0,6,630.9115629047369,411,27.49391727493917,104,576,nan,nan,0.0,0,reference,reference
stress_near_transition,C2,5036,1720,1711,71.29166666666667,99.4767441860465,1.1148488473749525,154.57089736917393,0.6709255419450361,39.02439024390244,2.6580459770114917,60.97560975609756,0.5375795493063696,32.94138279383338,0,9430.0,46.333999999999804,5.367638888888886,61.059907149589684,48.99361946645935,12.06628768313033,80.23860787477236,19.40450957809691,17.33010061060227,31.66351885585707,84.80542659665232,3.0,6,230.58967955683366,678,17.25663716814159,157,943,nan,nan,0.0,0,reference,reference
stress_near_transition,C2,5037,1663,1659,69.125,99.75947083583885,0.8783207034964101,203.62130789630731,0.5833835808275599,37.93103448275862,1.2927756653992373,62.06896551724138,0.5508317204272497,35.266726103760604,0,11830.0,45.799999999999756,5.259305555555561,60.08081290466612,47.924247397063816,12.156565507602332,79.76630987518118,19.281709378112236,23.262322114558657,24.66192528250515,83.44557347870295,3.0,6,246.8670827263242,874,16.018306636155607,200,1183,nan,nan,0.0,0,reference,reference
