agv_id,strategy,scenario,scenario_value,completed_tasks,min_soc,idle_ratio,charge_h,stops,traction_energy,aux_energy,delivered_kwh,detour_m,replication
5,C2,base,base,361,65.1986861147442,0.37329405766002355,2.7104578351768622,0,4.843999999999942,0.7876388888888902,6.850464969481073,2560.0,1014
1,C3,base,base,362,62.51174900721196,0.37289418962975335,2.7099618722532544,0,4.567999999999974,0.769722222222221,6.581440921817794,1120.0,1014
2,C3,base,base,361,67.33923170800298,0.37206460720325985,2.4759511852769087,0,4.525999999999976,0.7655555555555544,6.376467290961721,970.0,1014
3,C3,base,base,361,76.89616643177342,0.3721807747399503,2.2882741723049755,0,4.533999999999975,0.76611111111111,5.826413900633604,1010.0,1014
4,C3,base,base,361,79.7219643031765,0.37339401608800976,2.292121425311678,0,4.531999999999974,0.7659722222222213,5.718234253691698,1000.0,1014
5,C3,base,base,361,65.1986861147442,0.3735805348925048,2.56328146360699,0,4.537999999999975,0.7663888888888877,6.4466937604612085,1030.0,1014
1,C4,base,base,362,62.51174900721196,0.3723830607063799,2.710677407518772,0,4.831999999999943,0.7880555555555567,6.95268621978811,2440.0,1014
2,C4,base,base,361,67.33923170800298,0.3719505014908698,2.5570250990570527,0,4.819999999999943,0.7859722222222234,6.699252097605023,2440.0,1014
3,C4,base,base,361,76.89616643177342,0.37179033713516735,2.381005691922667,0,4.823999999999944,0.7862500000000011,6.235136122855854,2460.0,1014
4,C4,base,base,361,79.7219643031765,0.3732128667227946,2.3306006249086497,0,4.821999999999944,0.7861111111111122,6.105156817152076,2450.0,1014
5,C4,base,base,361,65.1986861147442,0.37329405766002355,2.616445720290999,0,4.8179999999999445,0.7858333333333345,6.822659413925513,2430.0,1014
1,C1,base,base,364,19.912643612577018,0.3158014402270886,1.2979140071744995,0,4.36999999999999,0.7584722222222202,3.5043678193711485,10.0,1015
2,C1,base,base,362,19.722590413776175,0.3158438851587993,1.3845479447584552,0,4.34599999999999,0.7543055555555536,3.5138704793111915,10.0,1015
3,C1,base,base,363,19.904709150088582,0.31639030934987333,1.2980609416650262,0,4.35799999999999,0.7563888888888869,3.504764542495571,10.0,1015
4,C1,base,base,355,19.79028135658998,0.3172960366006707,1.6372030045864876,0,4.261999999999994,0.7397222222222203,3.5104859321705013,10.0,1015
5,C1,base,base,360,19.822222222221708,0.30647857680399015,2.7474703240328706,0,4.323999999999992,0.7502777777777758,7.014460216978061,20.0,1015
1,C2,base,base,361,60.38268659046958,0.3729626037402459,2.8631383526843233,0,4.867999999999941,0.7893055555555571,7.086989272006398,2680.0,1015
2,C2,base,base,361,68.16925708044317,0.3744329035967753,2.649800137479237,0,4.869999999999941,0.789444444444446,6.7206760348668215,2690.0,1015
3,C2,base,base,361,69.19637581675559,0.37470730674637254,2.6083853771644843,0,4.855999999999942,0.7884722222222235,6.6543478758289805,2620.0,1015
4,C2,base,base,361,52.74528135659019,0.37460439766195847,2.9791203187508026,0,4.867999999999942,0.7893055555555569,7.489735932170584,2680.0,1015
5,C2,base,base,360,50.87190677155059,0.37475101780641995,3.011295894720724,0,4.86399999999994,0.7877777777777792,7.59196021697812,2720.0,1015
1,C3,base,base,361,60.38268659046958,0.3733200905470479,2.640542946892297,0,4.587999999999971,0.7698611111111103,6.719423374926744,1280.0,1015
2,C3,base,base,361,68.16925708044317,0.37503751426510207,2.4763949083853554,0,4.551999999999973,0.7673611111111103,6.352426034866785,1100.0,1015
