pad_id,location,strategy,scenario,scenario_value,utilization,sessions,wait_min,input_kwh,delivered_kwh,replication
1,staging,C1,base,base,16.253431024647796,3,56.87632435625213,11.702470337746412,10.532223303971772,1023
2,picking,C1,base,base,10.697736861230586,2,33.90956257369192,7.702370540086022,7.017094601839751,1023
1,staging,C2,base,base,26.295754717331455,615,68.14674466204741,18.932943396478663,15.669771666539535,1023
2,picking,C2,base,base,26.583119282789543,620,66.0668786606463,19.13984588360846,16.02143512816098,1023
1,staging,C3,base,base,23.4907546929219,225,65.63763096375665,16.91334337890377,14.421643257192764,1023
2,picking,C3,base,base,24.94549329311771,227,63.13326540527193,17.960755171044745,15.212184738098308,1023
1,staging,C4,base,base,25.41556522994127,583,65.32397144361191,18.299206965557733,15.944747481656172,1023
2,picking,C4,base,base,24.999930999009074,584,60.64525559928604,17.999950319286537,15.592459313044346,1023
1,staging,C1,base,base,16.862874238750912,3,41.07358702707655,12.141269451900657,10.524011912065962,1024
2,picking,C1,base,base,10.528900223103552,2,0.0,7.580808160634559,7.007158709582368,1024
1,staging,C2,base,base,28.30055359957409,621,90.0323254827292,20.376398591693288,17.191503127489536,1024
2,picking,C2,base,base,27.670194678985,627,88.68760391082007,19.92254016886916,16.425584160825558,1024
1,staging,C3,base,base,25.957814059655497,233,84.69301392315423,18.68962612295196,15.818906513970141,1024
2,picking,C3,base,base,26.57290454638877,234,87.68716870680701,19.132491273399925,15.71234912920631,1024
1,staging,C4,base,base,26.646884424867185,600,80.89438904307666,19.185756785904328,16.641793990369152,1024
2,picking,C4,base,base,27.62392048994544,599,84.8082732172014,19.889222752760684,16.86193218683483,1024
1,staging,C1,base,base,15.821887103938948,3,39.800287405611016,11.391758714836042,10.522407339860427,1025
2,picking,C1,base,base,12.91175823643872,2,0.0,9.296465930235879,7.011840357449787,1025
1,staging,C2,base,base,28.556932935165598,661,62.847986512942846,20.56099171331921,17.227809471749005,1025
2,picking,C2,base,base,29.028451125108596,653,74.24410922380856,20.90048481007817,17.656413630886462,1025
1,staging,C3,base,base,26.426948839076296,249,54.439410303599,19.027403164134927,16.09800003856148,1025
2,picking,C3,base,base,27.195149997660323,249,69.23685899564332,19.58050799831545,16.631375120491274,1025
1,staging,C4,base,base,27.63907514292508,628,56.05016860113603,19.90013410290605,17.19241177605628,1025
2,picking,C4,base,base,28.061629439426884,636,74.99401596907357,20.204373196387333,17.553605596391595,1025
1,staging,C1,base,base,22.00114585931437,4,30.237444040495152,15.840825018706347,14.037523763161143,1026
2,picking,C1,base,base,16.58639060566446,3,0.0,11.942201236078409,10.528338857315667,1026
1,staging,C2,base,base,29.889801792262205,648,90.89930570855944,21.52065729042872,18.107100146479983,1026
2,picking,C2,base,base,30.61036077423719,646,73.63779169013803,22.039459757450732,18.537151362885766,1026
1,staging,C3,base,base,29.015244500608034,297,77.9149642251112,20.890976040437785,17.90857717229795,1026
2,picking,C3,base,base,27.749590427932592,294,81.10599175820259,19.979705108111446,16.853012803021812,1026
1,staging,C4,base,base,29.226110674335086,625,72.19053920875822,21.042799685521206,18.08671148118212,1026
2,picking,C4,base,base,29.884086900060048,628,89.51062094717976,21.51654256804319,18.461290028183647,1026
1,staging,C1,base,base,16.167465122099962,3,0.0,11.640574887911976,10.519025681164653,1027
2,picking,C1,base,base,10.761058618135667,2,0.0,7.74796220505768,7.015656185280368,1027
1,staging,C2,base,base,28.803416882573757,637,88.47628358571814,20.73846015545305,17.458113564668352,1027
2,picking,C2,base,base,29.30573670196409,635,71.77733415531266,21.100130425414097,17.29912385733233,1027
1,staging,C3,base,base,28.090887336283483,269,106.2077941934942,20.225438882124124,17.128324733472375,1027
2,picking,C3,base,base,26.15907359160941,268,66.5975020790063,18.83453298595879,15.650358465214712,1027
1,staging,C4,base,base,28.201223408830263,609,80.14788245817776,20.304880854357755,17.35459882005874,1027
2,picking,C4,base,base,28.117448634746612,611,64.96850385256168,20.244563017017487,17.274305268608618,1027
1,staging,C1,base,base,17.63660970552524,3,32.007757286549044,12.698358987978175,10.520094140690523,1028
2,picking,C1,base,base,11.51820706457291,2,0.0,8.293109086492496,7.017496494484329,1028
1,staging,C2,base,base,27.413586068817647,672,54.77026470719321,19.7377819695487,16.602423123094365,1028
2,picking,C2,base,base,26.72653625462506,674,56.49905954502695,19.243106103330042,16.30155640096946,1028
