scenario,strategy,replication,pad_id,utilization,sessions,wait_min,input_kwh,delivered_kwh
v3_primary_challenge,C1,1013,1,42.704024651291355,14,98.99622035721428,30.746897748929776,28.125529031052892
v3_primary_challenge,C2,1013,1,43.742452034725495,1377,0.0,31.494565465002452,28.880538648229678
v3_primary_challenge,C3,1013,1,40.4446038531891,1447,0.0,29.120114774296262,26.650942205015802
v3_primary_challenge,C4,1013,1,40.4446038531891,1447,0.0,29.120114774296262,26.642076870903814
v3_primary_challenge,C5,1013,1,40.4446038531891,1447,0.0,29.12011477429626,26.673598312853724
v3_primary_challenge,C1,1014,1,42.815093207085525,14,143.0874269974295,30.82686710910157,28.120196226881745
v3_primary_challenge,C2,1014,1,46.81410750408036,1148,6.430650717323927,33.706157402937926,30.868628966453297
v3_primary_challenge,C3,1014,1,36.4729630521089,1346,0.0,26.260533397518497,24.04839487863022
v3_primary_challenge,C4,1014,1,36.4729630521089,1346,0.0,26.260533397518497,24.082925370810443
v3_primary_challenge,C5,1014,1,49.84883728436873,1073,72.71871416823075,35.89116284474554,33.020683736376895
v3_primary_challenge,C1,1015,1,45.95677229481251,15,67.10773284462788,33.08887605226501,30.142337879215344
v3_primary_challenge,C2,1015,1,49.38996607026119,1025,73.94801103702387,35.560775570587985,32.69586784572905
v3_primary_challenge,C3,1015,1,38.09328223162283,1355,0.0,27.42716320676857,25.117980517629785
v3_primary_challenge,C4,1015,1,54.89986156635197,1003,200.55959647438456,39.52790032777349,35.841479037938136
v3_primary_challenge,C5,1015,1,60.69668397958856,1221,455.4012836740047,43.701612465303874,40.072143434771036
v3_primary_challenge,C1,1016,1,46.07356441820199,15,221.26924098735392,33.17296638110543,30.13978213257316
v3_primary_challenge,C2,1016,1,41.35317064666575,1485,0.0,29.774282865599506,27.27910465459542
v3_primary_challenge,C3,1016,1,41.35317064666575,1485,0.0,29.774282865599506,27.266848810956645
v3_primary_challenge,C4,1016,1,41.353170646665745,1485,0.0,29.774282865599506,27.262542459881296
v3_primary_challenge,C5,1016,1,41.35317064666575,1485,0.0,29.774282865599506,27.241339889615684
v3_primary_challenge,C1,1017,1,36.86130411202624,12,82.77064608675028,26.540138960658897,24.133332023479927
v3_primary_challenge,C2,1017,1,44.740015379204955,1414,0.0,32.21281107302767,29.450331647976704
v3_primary_challenge,C3,1017,1,41.82625545056813,1516,0.0,30.11490392440916,27.605937275979883
v3_primary_challenge,C4,1017,1,41.82625545056813,1516,0.0,30.11490392440916,27.607443732437034
v3_primary_challenge,C5,1017,1,41.82625545056813,1516,0.0,30.11490392440916,27.58937475463657
v3_primary_challenge,C1,1018,1,42.61219764022188,14,199.22641853639306,30.680782300959763,28.17346535775731
v3_primary_challenge,C2,1018,1,48.776860528134875,1235,9.16031092117628,35.119339580257176,32.32223056642049
v3_primary_challenge,C3,1018,1,37.18727924340885,1388,0.0,26.774841055254463,24.55193764816457
