scenario,strategy,replication,time_s,candidate_count,available_pads,c3_agv,c4_agv,c4_preview_task_id,different
v3_primary_challenge,C2,1007,47454.48329285381,4,1,4,1,1225,1
v3_primary_challenge,C2,1007,47486.51126086788,3,1,4,1,1225,1
v3_primary_challenge,C2,1007,47496.51126086788,2,1,4,4,1227,0
v3_primary_challenge,C2,1007,48016.51126086788,4,1,4,4,1241,0
v3_primary_challenge,C2,1007,48086.51126086788,4,1,4,4,1241,0
v3_primary_challenge,C2,1007,48106.90592872225,4,1,4,3,1242,1
v3_primary_challenge,C2,1007,48131.5379889013,3,1,4,3,1242,1
v3_primary_challenge,C2,1007,49204.26487555498,2,1,1,2,1274,1
v3_primary_challenge,C2,1007,49274.26487555498,5,1,4,3,1275,1
v3_primary_challenge,C2,1007,49284.26487555498,4,1,4,3,1275,1
v3_primary_challenge,C2,1007,49294.26487555498,3,1,4,3,1275,1
v3_primary_challenge,C2,1007,49364.26487555498,3,1,4,3,1275,1
v3_primary_challenge,C2,1007,49403.40385263167,2,1,4,4,1276,0
v3_primary_challenge,C2,1007,49434.95700819518,2,1,1,1,1277,0
v3_primary_challenge,C2,1007,49470.39680918489,2,1,5,2,1279,1
v3_primary_challenge,C2,1007,49540.39680918489,2,1,5,2,1279,1
v3_primary_challenge,C2,1007,49576.54014105446,2,1,3,3,1279,0
v3_primary_challenge,C2,1007,49751.13031796915,2,1,3,3,1284,0
v3_primary_challenge,C2,1007,49818.37597928883,3,1,1,2,1286,1
v3_primary_challenge,C2,1007,49828.37597928883,2,1,5,2,1286,1
v3_primary_challenge,C2,1007,50233.95428884609,2,1,5,5,1296,0
v3_primary_challenge,C2,1007,50262.57038900616,3,1,4,1,1298,1
v3_primary_challenge,C2,1007,50272.57038900616,2,1,1,1,1298,0
v3_primary_challenge,C2,1007,50352.57038900616,2,1,3,3,1299,0
v3_primary_challenge,C2,1007,50748.97675512832,3,1,4,4,1310,0
