scenario,metric,comparison,mean_diff,ci95_low,ci95_high,cohens_d,n
stress_w75_p2_kw1,completion_rate,C4-C3,0.34231451944460334,-0.06927719600901783,0.7539062348982245,0.23636216756566455,50
stress_w75_p2_kw1,wpt_loss,C4-C2,-0.07486795880746135,-1.1790005135694703,1.0292645959545474,-0.01927054716274584,50
stress_w75_p2_kw1,wpt_loss,C4-C3,-0.3936605475061588,-1.2223585551539604,0.43503746014164274,-0.13500344963001976,50
stress_w75_p2_kw1,low_soc_stops,C4-C2,0.0,0.0,0.0,0.0,50
stress_w75_p2_kw1,low_soc_stops,C4-C3,0.0,0.0,0.0,0.0,50
stress_w75_p2_kw3,mean_delay,C4-C2,-7.631541910425532e-05,-0.00016184018410565307,9.20934589714243e-06,-0.2535944078292837,50
stress_w75_p2_kw3,mean_delay,C4-C3,-3.5719899613222974e-05,-0.00011260424696900877,4.116444774256282e-05,-0.13203575887462057,50
stress_w75_p2_kw3,urgent_on_time_rate,C4-C2,0.0,0.0,0.0,0.0,50
stress_w75_p2_kw3,urgent_on_time_rate,C4-C3,0.0,0.0,0.0,0.0,50
stress_w75_p2_kw3,completion_rate,C4-C2,0.0,0.0,0.0,0.0,50
stress_w75_p2_kw3,completion_rate,C4-C3,0.0,0.0,0.0,0.0,50
stress_w75_p2_kw3,wpt_loss,C4-C2,-0.4878485185898629,-0.5638762797152037,-0.411820757464522,-1.8236103876966232,50
stress_w75_p2_kw3,wpt_loss,C4-C3,-0.4608260563873121,-0.5381420689478954,-0.3835100438267288,-1.6938964105676069,50
stress_w75_p2_kw3,low_soc_stops,C4-C2,0.0,0.0,0.0,0.0,50
stress_w75_p2_kw3,low_soc_stops,C4-C3,0.0,0.0,0.0,0.0,50
stress_w75_p2_kw5,mean_delay,C4-C2,-7.17690416114497e-05,-0.00014317651942434095,-3.6156379855843636e-07,-0.2856358545719981,50
stress_w75_p2_kw5,mean_delay,C4-C3,-3.043372493975849e-05,-8.68296079851242e-05,2.5962158105607233e-05,-0.15336525401940793,50
stress_w75_p2_kw5,urgent_on_time_rate,C4-C2,0.0,0.0,0.0,0.0,50
stress_w75_p2_kw5,urgent_on_time_rate,C4-C3,0.0,0.0,0.0,0.0,50
stress_w75_p2_kw5,completion_rate,C4-C2,0.0,0.0,0.0,0.0,50
stress_w75_p2_kw5,completion_rate,C4-C3,0.0,0.0,0.0,0.0,50
stress_w75_p2_kw5,wpt_loss,C4-C2,-0.23798889335451542,-0.307182524422406,-0.16879526228662484,-0.9774844026887372,50
stress_w75_p2_kw5,wpt_loss,C4-C3,-0.22954209689974917,-0.30957085042397897,-0.14951334337551936,-0.8151462976747975,50
stress_w75_p2_kw5,low_soc_stops,C4-C2,0.0,0.0,0.0,0.0,50
stress_w75_p2_kw5,low_soc_stops,C4-C3,0.0,0.0,0.0,0.0,50
stress_w90_p1_kw1,mean_delay,C4-C2,36.98157033505917,14.182780694841718,59.78035997527662,0.4609914020162755,50
stress_w90_p1_kw1,mean_delay,C4-C3,-9.640425486404965,-31.48716129439266,12.20631032158273,-0.1254090603263236,50
stress_w90_p1_kw1,urgent_on_time_rate,C4-C2,5.368273751452193,4.455061368423732,6.281486134480654,1.6706371354093112,50
stress_w90_p1_kw1,urgent_on_time_rate,C4-C3,-1.2274968492717795,-1.5246159744212555,-0.9303777241223036,-1.1741107022930763,50
stress_w90_p1_kw1,completion_rate,C4-C2,-3.440036681133186,-4.821662603005264,-2.0584107592611076,-0.7076065902435612,50
stress_w90_p1_kw1,completion_rate,C4-C3,0.8438909357014507,-0.5087671250439393,2.1965489964468405,0.177303604856013,50
stress_w90_p1_kw1,wpt_loss,C4-C2,0.5566767940790099,-0.94566095826234,2.05901454642036,0.10530640939971014,50
stress_w90_p1_kw1,wpt_loss,C4-C3,0.757885439423174,-0.6706207436425617,2.1863916224889097,0.15077894745111786,50
stress_w90_p1_kw1,low_soc_stops,C4-C2,0.0,0.0,0.0,0.0,50
stress_w90_p1_kw1,low_soc_stops,C4-C3,0.0,0.0,0.0,0.0,50
stress_w90_p1_kw3,mean_delay,C4-C2,1.1565172370028884,-1.5878442296439004,3.9008787036496773,0.11976504045745406,50
stress_w90_p1_kw3,mean_delay,C4-C3,-0.9048790741613214,-1.6803174008977437,-0.12944074742489908,-0.3316366738833466,50
stress_w90_p1_kw3,urgent_on_time_rate,C4-C2,12.378497882047734,9.886207610498301,14.870788153597166,1.4115250594993713,50
stress_w90_p1_kw3,urgent_on_time_rate,C4-C3,-0.31823999587148677,-0.6177911501709791,-0.018688841571994463,-0.3019277503074669,50
stress_w90_p1_kw3,completion_rate,C4-C2,-1.2999583323858133,-2.480984755663561,-0.11893190910806561,-0.31281609205168226,50
stress_w90_p1_kw3,completion_rate,C4-C3,0.31839479925890063,0.08028456570900436,0.5565050328087969,0.3800206291285338,50
stress_w90_p1_kw3,wpt_loss,C4-C2,-2.4207711965467773,-3.488707275263119,-1.3528351178304354,-0.6442104313585654,50
stress_w90_p1_kw3,wpt_loss,C4-C3,-0.7636082864780956,-1.3405625114501336,-0.18665406150605757,-0.3761391536010934,50
stress_w90_p1_kw3,low_soc_stops,C4-C2,0.0,0.0,0.0,0.0,50
stress_w90_p1_kw3,low_soc_stops,C4-C3,0.0,0.0,0.0,0.0,50
stress_w90_p1_kw5,mean_delay,C4-C2,-0.0013422222368530046,-0.003938962694542783,0.001254518220836774,-0.14689775328160248,50
stress_w90_p1_kw5,mean_delay,C4-C3,-2.1790694264620657e-05,-8.995689213676281e-05,4.6375503607521505e-05,-0.09084923293932007,50
